url,text
https://plandisney.disney.go.com/question/booked-hotel-disney-free-dining-deal-becoming-real-148878/,"With Advance Dining Reservations open 180 days in advance, it can be tough to get a reservation at your favorite restaurants at popular times, and you have your eye on some very popular restaurants. I would call back the Disney Dining Reservation line periodically. Sometimes you can take advantage of a cancellation. Also, let the reservationist know if you can eat early or late. Often, such flexibility can be a great help with snagging a hard-to-get reservation. If you are feeling lucky, you can always try to get a walk-up reservation while at the Park if any last-minute reservations opened up. But in the meantime, to make sure you secure some reservations, I would check out
this list of Disney World restaurants, which you can sort and filter by food type, location, and experience. As soon as you find some interesting or appealing choices, make sure the restaurant participates in your dining plan and then make the reservation."
https://plandisney.disney.go.com/question/everyone-husband-year-old-daughter-hope-res-crt-52555/,"Hi, Jean! If it were up to me, I'd choose lunch, but that's mostly because my girls are not big breakfast eaters. It hardly seems worth it to me to pay such a big amount of money for breakfast, when they usually only want a bowl of cereal or a bagel at home. We get more bang for our buck at any meal but breakfast.
Having said that, with Cinderella's Royal Table, you sometimes don't have a choice. When you call in for your reservation, ask for the meal you want, but be prepared to maybe have to pick a different meal.
You can check the menus out for both meals at
www.allears.net by clicking on the Dining tab at the top of the page. That will help you make the decision that's right for your family.
Good luck getting the reservation you want!"
https://plandisney.disney.go.com/question/input-disney-gift-cards-568450/,"Hi there, Gloria!
Welcome back to planDisney and thanks for coming by with your question! I see that you're currently visiting the Disneyland Resort, so I hope that you'll see this answer in time!
If you're trying to use a Disney Gift Card to make purchases (whether it be
mobile food orders or
Merchandise Mobile Checkout) in the
Disneyland Mobile App, you'll see an option to ""Use a Different Payment Method"" at the bottom of the Checkout Screen. If you select that option, it will create a checkbox for you to use a Disney Gift Card. Once you pick that, you'll have to manually enter the 16 Digit Card Number or scan the bar code with your phone's camera. Disney Gift Cards cannot be stored in the App, so I recommend storing the card number in a separate Notes app so you can easily copy and paste it each time you need it.
If you have multiple Gift Cards and don't want to carry them all around, did you know that you can consolidate them into one Card (up to a maximum of $1000) at
disneygiftcard.com? It's a really handy feature to keep track of all your Gift Cards. The site is not a mobile wallet, however, so keep that physical card because you'll still need it!
Have you been enjoying the
Disney California Adventure Food & Wine Festival that's going on right now? I hope that you've found some favorite dishes that you've been able to try. I'm really looking forward to getting that Mickey-shaped Macaron made with SNICKERS bar pieces for myself (although I should probably share it with someone)!
Gloria, I hope that you found this helpful. Please come by again if you need anything further because we'd love to hear from you in the future. You're always welcome at planDisney!
Wishing You a Great, Big, Beautiful Tomorrow!"
https://plandisney.disney.go.com/question/neighbor-beach-wants-know-need-tickets-park-dinner-316685/,"Thanks so much for sending this great question; we get asked that very thing often!
For guests with dining reservations at any restaurant within a
Walt Disney World park, admission will be needed. However, if your neighbor's reservation for a wonderful
character dining experience is located within a Walt Disney World Resort hotel, then no ticket will be needed at that time.
There are so many exciting character dining experiences, and enjoying one at the most magical time of the year will make your neighbors' night even better! Be sure to tell them to check out this excellent post regarding
Holidays at Walt Disney World, too. There is so much more to see and do during this very special time of year, so while your neighbors are heading to their character dinner, they should be on the lookout for extra-special sights and sounds throughout the parks and resorts. Truly, a visit to Walt Disney World at Christmas is as magical as it can get.
Send your neighbor over to us at
Disney Parks Moms Panel for more answers, Nancy. Of course, come back here for information when you're ready to plan your OWN trip to Walt Disney World, too. We love to help!"
https://plandisney.disney.go.com/question/wife-purchased-magic-key-passes-made-reservation-however-594164/,"Hi Ben! Thanks for visiting planDisney.
Congratulations on becoming
Magic Key holders. I recently bought another Magic Key myself because I love having more access to the parks, great
discounts, and fun perks. I'm looking forward to using my shiny new Magic Key during the upcoming
Holidays at the Disneyland Resort. There will be so much to explore! I've checked my
Blockout dates and availability and made my theme park reservations so I'm ready to go. Terms are subject to change.
Unfortunately, you should be asked to present a valid government-issued photo ID at first use of your Magic Key. Going forward, you'll probably be identified by the photo the friendly Cast Member snaps of you on that first visit, but the ability to show an ID is especially important that first time. If you selected an Imagine Key, your ID will also need to prove residence in an eligible ZIP Code. There are no other forms of proof currently accepted.
It's good news that your wife has already renewed her license. Hopefully, it is on its way and you won't have long to wait. Also, your year of magic won't start until you scan into the parks for the first time, which will activate your Magic Key. So, while you wait for the new license to arrive, you're not losing days on your Magic Key year of fun. I hope that's good news!
If you're not following the official
Disneyland Magic Key blog, do so! It's got great information for Magic Key holders. I always check to see what I can expect prior to my visit.
Have a magical day."
https://plandisney.disney.go.com/question/deluxe-standard-room-without-bunk-beds-538840/,"Welcome aboard, Dona!
I’m so happy to connect with a fellow Virginian and talk about
Disney Cruise Line together. Thanks for bringing your thoughtful question our way as you get organized for a wonderful sailing next year - no matter the destination or ship, you’re going to have an amazing adventure! It’s my pleasure to help you understand what bed configurations may be available for your family's comfortable sailing.
There are so many beautiful kinds of families and travel groups onboard, but there is sure to be a stateroom that suits you perfectly. A “deluxe” description can apply to rooms in the
Inside, Oceanview, and Verandah categories but there are some similarities. Please know that there are wheelchair-accessible staterooms which may also have “Deluxe” in their description, and they offer additional space and a different layout. Within each category, there are rooms that have a
capacity for three, four, or five Guests. You will see the specific capacity listed either in your email confirmation or the description of your stateroom within your reservation online. My family of three is often placed in a room without a bunk bed option, as we don't require the sleeping room for a fourth person. Please note that when you make your reservation, the website would only show you rooms that fit your travel party size.
No matter the size of your group, please know that the bunk beds are not open and visible all day. When you first enter your stateroom it will have a bed, a sofa, and perhaps an armchair.
Your incredible Stateroom Host will magically transform the room each evening while you’re at dinner into the proper configuration for sleeping by pulling down the bunkbed (if needed, and if the room allows) or by changing the sofa and armchair into beds. If you don’t need this extra space and have a smaller travel party, you will never see the bunk bed.
The next day your Stateroom Host will transform the room back into “living room mode” just as Mary Poppins cleaned up the nursery and you’ll never see the bunk bed, even if you needed it overnight. This process is seamless to you and will support your family’s sleeping needs without being disruptive to your living space during the day.
I suggest you
call Disney Cruise Line if you’d like to know the exact configuration of your stateroom, Dona. (If you
book a special guaranteed room category you won’t know the exact stateroom number until much closer to sailing.) If you have a little one, you may also request a pack-n-play or bedrails on your reservation under Special Requests > Child Amenities or request them over the phone if there's a concern with bunk beds for a younger traveler.
I hope this helps you understand what to expect in your comfortable stateroom next year! Our Stateroom Hosts are some of the most caring, kind, generous people with a heart for genuine service and have made for special memories with my family onboard Disney cruise ships. I know yours will take care of you with the bedding arrangements for a practically perfect voyage at sea.
Please let us know what other questions you have as you get ready for this special vacation; we'd love to help!
Wishing you magical dreams until your cruise,"
https://plandisney.disney.go.com/question/im-planning-having-big-group-people-people-total-disney-595680/,"Welcome back to planDisney, Cali! It's always such a delight to see your name pop up, and I'm absolutely thrilled to help with your question today! Traveling with a big group means tons of fun and unforgettable moments, and I can't wait for you and your entire party to have an incredible time together at
The Most Magical Place on Earth!
Cali, you're in for a real treat when you dine at
Sebastian's Bistro. I can't recommend the Oven-Roasted Chicken with Tamarind Barbecue and the House-Made Coconut-Pineapple Bread Pudding with Caramel Sauce and Vanilla Ice Cream enough! They're so delicious and packed with flavor—you're going to love every bite!
Now, as you probably already know, it's not possible to book a table for 30 through the
My Disney Experience website or app right now. But don't worry, you've got options! A great and easy choice is to book two separate tables for 15 guests each since the
dining online reservation limit is 20. If you can grab similar check-in times, this could work out perfectly! I know it can be a bit tricky to find two reservations for such a large group, so another option is to give Disney a call at (407) 939-5277. The fantastic Cast Members there will be more than happy to help you out and figure out if there's availability and how that could work for your party.
While it might be tough to get all thirty of you seated at one big table, I'm sure the restaurant staff will do their best to keep you all close together.
I hope this makes your planning a little easier, Cali! If you have any more questions or need anything else,
feel free to reach out anytime. We're always here, excited to help our wonderful friends like you!"
https://plandisney.disney.go.com/question/im-planning-surprise-xmas-trip-teenagers-boys-girl-plus-145779/,"Wow - a surprise Christmas vacation! I know your Pirates and Princess will be thrilled with this surprise vacation. I think they will really enjoy a day at Disney's Hollywood Studios. There are many attractions that will make them happy.
One of my favorite roller coasters in located in this theme park - Rock 'n' Roller Coaster Starring Aerosmith is a hit and this roller coaster is so fast! Star Tours is a must see attraction especially if they are into Star Wars. The Twilight Zone Tower of Terror is a ""dropping"" attraction that they must not miss! There are also a few shows that they must see - Lights, Motors, Action! Extreme Stunt Show and Indiana Jones Epic Stunt Spectacular!
I know there are many attractions in this park that will definitely keep them busy for a day. Please go HERE to view the attractions at this theme park. I hope this helps!
Have a magical day!"
https://plandisney.disney.go.com/question/purchased-tickets-mnsshp-bring-hard-copy-tickets-printed-256958/,"Mickey's Not-So-Scary Halloween Party is one of my favorite special events that Walt Disney World has to offer. You won't want to miss the Boo to You Halloween Parade or HalloWishes, the special fireworks spectacular only seen on party nights.
Be sure that your tickets to the party show up on your My Disney Experience account and this should mean that your tickets are linked to your Magic Bands. However, since the Magic Bands are a fairly new system, it is always safe, in my opinion, to have a hard copy folded up in your backpack for easy reference in case there is a problem encountered. You can never be too safe.
Have a spooky time in this magical place."
https://plandisney.disney.go.com/question/idea-characters-currently-appearing-disney-jr-play-dine-256774/,"I can tell that you are super excited about your upcoming Walt Disney World Resort vacation in September, and I do not blame you! You and your children are going to love the
Disney Junior Play 'n Dine Character Dining at Hollywood & Vine. Though Sheriff Callie is not currently available, the characters that are scheduled to make appearances are Sofia the First, Doc McStuffins, Jake and the Neverland Pirates and Handy Manny.
Please let us know if you have additional questions."
